Year,MO,DY,T,H,P,
1981,6,15,27.05,4.76,0,
1981,6,16,28.08,5.74,0.01,
1981,6,17,26.63,4.7,0.05,
1981,6,18,29.42,6.71,0,
1981,6,19,31.09,7.45,0,
1981,6,20,30.08,5.31,0,
1981,6,21,31.6,6.23,0,
1981,6,22,31.48,5.92,0,
1981,6,23,29.76,5.98,0,
1981,6,24,30.18,5.55,0,
1981,6,25,28.98,6.29,0,
1981,6,26,32.5,6.47,0,
1981,6,27,31.73,6.35,0,
1981,6,28,31.14,6.04,0,
1981,6,29,29.74,5.68,0,
1981,6,30,28.98,5.19,0,
1981,7,1,27.33,6.23,0,
1981,7,2,28.08,5.92,0,
1981,7,3,30.34,5.43,0,
1981,7,4,29.5,5.98,0,
1981,7,5,29.26,7.45,0.08,
1981,7,6,27.27,5.55,0,
1981,7,7,25.58,3.11,0.02,
1981,7,8,27.68,2.69,0,
1981,7,9,27.84,3.78,0,
1981,7,10,26.45,3.72,0,
1981,7,11,25.37,3.85,0,
1981,7,12,24.39,4.15,0,
1981,7,13,28.74,3.66,0,
1981,7,14,30.97,3.23,0,
1981,7,15,30.98,2.62,0,
1981,7,16,29.09,3.42,0.02,
1981,7,17,26.91,4.39,0,
1981,7,18,27.48,4.21,0,
1981,7,19,29.93,3.23,0,
1981,7,20,29.63,3.3,0,
1981,7,21,30.85,2.81,0,
1981,7,22,31.02,3.23,0,
1981,7,23,30.15,4.03,0,
1981,7,24,31.19,3.54,0,
1981,7,25,31.55,3.54,0,
1981,7,26,32.43,4.46,0,
1981,7,27,30.94,4.94,0,
1981,7,28,30.11,5.19,0,
1981,7,29,28.65,5.07,0,
1981,7,30,26.44,4.46,0,
1981,7,31,25.44,4.52,0,
1981,8,1,25.88,4.94,0,
1981,8,2,26.93,4.33,0,
1981,8,3,26.81,4.7,0,
1981,8,4,27.58,5.37,0,
1981,8,5,29.79,3.97,0,
1981,8,6,32.55,3.17,0,
1981,8,7,35.28,3.17,0,
1981,8,8,33.21,3.85,0,
1981,8,9,35.8,4.33,0,
1981,8,10,31.07,6.1,0.01,
1981,8,11,30.55,6.77,0,
1981,8,12,28.87,7.39,0,
1981,8,13,25.95,6.71,0,
1981,8,14,25.69,5.62,0,
1981,8,15,28.41,4.52,0,
1981,8,16,31.94,3.36,0,
1981,8,17,31.6,3.36,0,
1981,8,18,27.97,5.25,0,
1981,8,19,23.38,5.8,0,
1981,8,20,24.9,4.21,0,
1981,8,21,26.95,3.6,0,
1981,8,22,26.73,3.72,0,
1981,8,23,24.78,4.82,0,
1981,8,24,23.9,5.8,0,
1981,8,25,25.19,4.21,0,
1981,8,26,29.08,3.54,0,
1981,8,27,31.53,3.17,0,
1981,8,28,30.61,3.54,0,
1981,8,29,29.39,4.64,0,
1981,8,30,27.88,4.21,0,
1981,8,31,28.91,2.69,0,
1981,9,1,28.34,4.21,0,
1981,9,2,26.53,4.76,0,
1981,9,3,24.69,5,0,
1981,9,4,25.59,4.88,0,
1981,9,5,28.38,3.6,0,
1981,9,6,28.23,3.3,0,
1981,9,7,27.31,4.15,0,
1981,9,8,26.94,4.76,0,
1981,9,9,27.67,4.82,0,
1981,9,10,28.12,4.7,0,
1981,9,11,28.65,4.82,0,
1981,9,12,28.98,5.68,0.11,
1981,9,13,28.18,5.68,0.03,
1981,9,14,28.25,5.68,0,
1981,9,15,28.51,5.68,0,
1981,9,16,27.79,5.62,0,
1981,9,17,26.96,6.1,0,
1981,9,18,26.74,5.49,0,
1981,9,19,25.79,5.25,0,
1981,9,20,24.82,3.11,0,
1981,9,21,23.14,2.69,0,
1981,9,22,21.53,2.5,0,
1981,9,23,20.33,2.87,2.89,
1981,9,24,15.55,6.04,16.09,
1981,9,25,16.92,5.68,0,
1981,9,26,19.93,7.57,1.02,
1981,9,27,18.63,10.38,8.37,
1981,9,28,18.19,7.45,0.24,
1981,9,29,18.65,4.82,0,
1981,9,30,21.53,4.09,0,
1981,10,1,21.53,4.21,0.06,
1981,10,2,17.46,6.41,1.1,
1981,10,3,16.36,6.29,0.2,
1981,10,4,15.13,4.39,0.02,
1981,10,5,17.09,4.52,0.02,
1981,10,6,17.34,6.71,8.4,
1981,10,7,16.14,7.14,17.15,
1981,10,8,16.1,5.62,0.26,
1981,10,9,17.5,6.65,2.66,
1981,10,10,15.4,8.36,23.8,
1981,10,11,12.1,5.31,2.22,
1981,10,12,11.62,4.39,1.35,
1981,10,13,12.23,4.33,0.09,
1981,10,14,13.32,4.27,0.03,
1981,10,15,14.09,3.97,0,
1981,10,16,15.39,3.97,0,
1981,10,17,17.61,5.13,0,
1981,10,18,18.9,5.13,0,
1981,10,19,19.38,4.64,0,
1981,10,20,19.58,4.88,0,
1981,10,21,19.42,4.88,0,
1981,10,22,19.11,4.58,0,
1981,10,23,19.27,4.03,0,
1981,10,24,19.54,4.46,0,
1981,10,25,16.66,5.37,0,
1981,10,26,13.09,6.53,1.21,
1981,10,27,13.39,8.06,29.34,
1981,10,28,12.87,7.93,40.12,
1981,10,29,10.43,5.92,1.59,
1981,10,30,12.08,5.43,0.04,
1981,10,31,14.91,5.31,0,
1981,11,1,16.84,5.8,0,
1981,11,2,16.69,5.49,0.04,
1981,11,3,17.57,5.19,0,
1981,11,4,16.51,5.98,0.01,
1981,11,5,14.98,6.53,1.09,
1981,11,6,16.11,6.77,0.03,
1981,11,7,15.92,6.77,0,
1981,11,8,16.52,5.68,0,
1981,11,9,15.98,6.16,1.21,
1981,11,10,12.41,7.57,1.72,
1981,11,11,15.29,7.45,4.5,
1981,11,12,13.03,8.91,50.98,
1981,11,13,13.33,9.09,38.39,
1981,11,14,12.32,7.81,19.81,
1981,11,15,12.77,8.36,39.49,
1981,11,16,14.55,9.52,24.85,
1981,11,17,11.98,7.26,4.08,
1981,11,18,9.19,5.31,0.02,
1981,11,19,9.55,5.49,0.2,
1981,11,20,10.22,6.59,9.12,
1981,11,21,12.1,8.42,31.27,
1981,11,22,11.71,7.51,18.83,
1981,11,23,12.42,8.48,41.79,
1981,11,24,10.87,6.41,2.72,
1981,11,25,7.44,4.76,0.49,
1981,11,26,5.82,5.55,19.09,
1981,11,27,5.9,5.37,5.25,
1981,11,28,6.13,4.94,0.79,
1981,11,29,5.92,4.46,0.54,
1981,11,30,6.78,4.58,1.91,
1981,12,1,10.05,5.8,0,
1981,12,2,10.15,6.59,0.01,
1981,12,3,10.78,6.77,0.01,
1981,12,4,10.77,6.1,0.02,
1981,12,5,9.71,6.04,0.3,
1981,12,6,9.62,6.41,4.88,
1981,12,7,11.72,7.75,0.34,
1981,12,8,12.71,6.71,0,
1981,12,9,10.06,6.84,13.26,
1981,12,10,7.69,5.8,0.16,
1981,12,11,7.44,4.94,0.04,
1981,12,12,6.26,5.43,17.16,
1981,12,13,9.43,6.96,8.71,
1981,12,14,11.58,8,3.64,
1981,12,15,11.27,7.08,2.37,
1981,12,16,9.17,5.43,0,
1981,12,17,10.2,6.1,0.54,
1981,12,18,10.01,6.84,61.57,
1981,12,19,12.97,8.79,45.85,
1981,12,20,11.48,7.81,27.68,
1981,12,21,8.5,5.98,8.39,
1981,12,22,5.98,4.46,0,
1981,12,23,7.59,4.64,0.01,
1981,12,24,6.81,4.88,0.06,
1981,12,25,8.37,5.55,0.25,
1981,12,26,8.33,6.53,5.68,
1981,12,27,7.62,5.19,2.04,
1981,12,28,3.91,4.52,11.21,
1981,12,29,7.08,6.23,37.59,
1981,12,30,8.81,6.59,3.54,
1981,12,31,7.18,6.16,11.32,
1982,1,1,4.08,4.46,11.54,
1982,1,2,3.48,4.09,2.99,
1982,1,3,1.59,3.85,20.47,
1982,1,4,0.66,3.85,46.86,
1982,1,5,0.22,3.54,1.27,
1982,1,6,-3.16,2.62,0,
1982,1,7,-0.94,3.11,0,
1982,1,8,2.77,4.21,0,
1982,1,9,4.43,4.94,0.04,
1982,1,10,6.15,5.31,0,
1982,1,11,7.07,5.13,0.01,
1982,1,12,5.22,4.64,0,
1982,1,13,6.16,5.19,0,
1982,1,14,6.6,5,0.04,
1982,1,15,7.01,5.55,0.03,
1982,1,16,8.33,4.64,0.01,
1982,1,17,6.8,5.07,0.64,
1982,1,18,4.99,5.13,6.07,
1982,1,19,3.83,4.82,17.48,
1982,1,20,2.16,4.39,16.26,
1982,1,21,2.06,3.85,2.85,
1982,1,22,1.28,3.36,0.12,
1982,1,23,4.43,4.58,0.26,
1982,1,24,8.35,5.62,0.14,
1982,1,25,9.08,6.1,0.81,
1982,1,26,8.08,5.8,14.89,
1982,1,27,5.01,4.52,3.5,
1982,1,28,3.67,4.58,6.52,
1982,1,29,4.23,4.46,0,
1982,1,30,6.33,4.88,0.02,
1982,1,31,7.8,5.43,0.78,
1982,2,1,6.85,5.19,0,
1982,2,2,8.93,6.1,0,
1982,2,3,8.08,5.74,0,
1982,2,4,3.75,3.36,0,
1982,2,5,3.23,3.11,0,
1982,2,6,4.73,3.6,0,
1982,2,7,7.48,4.52,0.03,
1982,2,8,7.05,4.82,0,
1982,2,9,5.66,5.07,0.02,
1982,2,10,6.73,4.27,0,
1982,2,11,5.4,4.39,0,
1982,2,12,7.76,5.13,3.31,
1982,2,13,9.94,7.2,32.03,
1982,2,14,12.22,8.54,33.11,
1982,2,15,13.15,9.09,46.41,
1982,2,16,12.41,8.18,2.2,
1982,2,17,12.5,7.45,0.35,
1982,2,18,11.2,6.16,0.39,
1982,2,19,14.55,8.97,1.95,
1982,2,20,15.5,9.46,0.14,
1982,2,21,13.76,8.54,2.08,
1982,2,22,8.3,5.37,0,
1982,2,23,6.24,4.52,0,
1982,2,24,8.69,4.7,0,
1982,2,25,8.83,5.74,0.54,
1982,2,26,8.65,6.41,2.86,
1982,2,27,11.47,6.77,0.97,
1982,2,28,10.83,7.2,5.84,
1982,3,1,10.33,7.45,30.5,
1982,3,2,9.34,6.47,5.55,
1982,3,3,7.5,5.68,0.95,
1982,3,4,8.1,5.25,0.01,
1982,3,5,8.83,5,0,
1982,3,6,9.24,4.58,0,
1982,3,7,10.86,6.16,3.13,
1982,3,8,10.96,7.2,0.93,
1982,3,9,11.92,7.26,2.47,
1982,3,10,11.75,8.24,16.16,
1982,3,11,13.38,7.81,13.98,
1982,3,12,11.44,6.29,0.13,
1982,3,13,11.83,7.02,5.49,
1982,3,14,8.08,6.16,13.43,
1982,3,15,6.67,4.82,3.1,
1982,3,16,4.8,5,8.62,
1982,3,17,4.48,4.88,5.28,
1982,3,18,6.56,5.25,3.35,
1982,3,19,7.23,4.94,0.78,
1982,3,20,8.58,4.82,0.04,
1982,3,21,9.08,4.82,0.46,
1982,3,22,11.08,5.07,0.01,
1982,3,23,11.13,5.49,0,
1982,3,24,12.24,6.35,0.35,
1982,3,25,10.33,6.47,1.42,
1982,3,26,10.04,6.59,1.39,
1982,3,27,8.94,6.29,2.57,
