Year,T,H,P
1981,32.16,4.52,0
1981,33.31,5.49,0
1981,33.08,4.58,0
1981,31.38,4.46,0
1981,31.68,4.39,0
1981,32.03,4.27,0
1981,31.48,3.97,0
1981,29.61,3.66,0
1981,29.49,4.03,0
1981,31.67,4.7,0
1981,32.64,8.48,0
1981,33.94,7.32,0
1981,32.72,11.11,0
1981,34.35,12.82,0
1981,34.26,9.46,0.02
1981,32.37,8.12,0.12
1981,32.51,8.79,2.12
1981,31.36,9.64,2.13
1981,31.41,11.66,4.06
1981,32.37,9.83,0.08
1981,32.29,8.12,0.13
1981,32.71,8.3,0.22
1981,32.42,8.67,0.01
1981,33.08,7.51,0.01
1981,34.68,7.57,0.05
1981,35.04,6.77,0.02
1981,34.18,6.16,0
1981,33.63,6.9,0
1981,34.82,8.06,0
1981,35.63,9.16,0.69
1981,36.76,8.73,0.47
1981,37.19,7.69,0
1981,37.12,8.85,0
1981,36.39,8,0
1981,34.39,6.1,0
1981,32.49,5.62,0
1981,32.19,7.45,0
1981,32.38,7.08,0
1981,31.77,7.02,0
1981,31.65,10.13,2.19
1981,31.48,10.93,0.88
1981,29.46,9.34,2.07
1981,29.67,12.15,0.87
1981,30.85,9.58,0
1981,30.67,7.08,0.02
1981,29.51,5.68,0
1981,29.83,6.04,0
1981,30.34,4.82,0
1981,30.43,6.41,0
1981,30.28,5.74,0.02
1981,31.65,6.1,0
1981,31.53,7.75,0
1981,31.87,6.96,0.01
1981,31.92,7.81,0
1981,31.65,9.22,0
1981,30.42,7.2,0
1981,28.94,5.49,0
1981,29.14,6.04,0
1981,28.02,7.51,0
1981,26.33,4.94,0
1981,25.44,5.62,0
1981,26.23,4.82,0
1981,27.05,4.46,0
1981,26.9,4.88,0
1981,24.36,5.8,0.03
1981,23.36,7.08,0.27
1981,23.79,9.09,1.23
1981,21.4,7.75,0.63
1981,21.08,6.84,0.02
1981,20.06,7.02,0.06
1981,21.26,5.43,0
1981,24.98,5.43,0
1981,25.78,5.07,0
1981,22.32,5.49,0
1981,22.23,4.52,0
1981,21.27,5.37,0.01
1981,17.1,6.65,0.32
1981,15.64,4.58,0
1981,14.41,3.78,0
1981,15.53,3.42,0
1981,16.02,3.3,0.08
1981,16.74,3.17,0
1981,18.03,3.36,0
1981,20.35,3.6,0
1981,21.38,3.91,0
1981,22.04,3.48,0
1981,21.76,3.42,0
1981,21.61,3.11,0
1981,22.3,2.69,0
1981,21.02,2.62,0
1981,20.23,3.54,0
1981,20.01,3.48,0.01
1981,18.44,4.64,0.06
1981,19.6,6.1,0.27
1981,15.42,5.43,0.15
1981,14.87,2.38,0
1981,14.95,2.26,0
1981,17.3,2.56,0
1981,19.44,3.6,0
1981,20.04,3.54,0
1981,20.07,3.17,0
1981,20.51,3.72,0
1981,18.15,4.58,0
1981,16.62,4.94,0
1981,19.9,4.27,0
1981,19.29,4.09,0
1981,18.42,3.42,0
1981,18.76,3.23,0
1981,18.98,3.42,0
1981,19.16,4.09,0
1981,18.44,5.68,0
1981,19.93,6.84,0
1981,20.1,5.62,0
1981,19.12,5.49,0
1981,16.62,3.3,0
1981,15.2,2.2,0
1981,15.53,1.89,0
1981,16.48,1.95,0
1981,16.71,3.6,0
1981,17.71,4.15,0
1981,17.44,4.58,0
1981,12.79,3.48,0
1981,10.71,4.21,0.66
1981,11.7,5.62,5.9
1981,10.19,5.86,4.37
1981,10.12,4.7,0.07
1981,9.26,3.66,0.05
1981,9.93,2.87,0
1981,12.87,3.97,0
1981,13.94,4.52,0
1981,14.08,4.39,0
1981,14.74,4.46,0
1981,14.24,4.09,0
1981,14.62,4.09,0
1981,14.48,4.21,0
1981,15.37,4.27,0
1981,17.1,5.55,0
1981,15.32,5.68,0
1981,12.57,3.42,0
1981,12.33,4.21,0
1981,14.1,3.72,0
1981,14.58,4.15,0
1981,13.6,4.52,0
1981,12.21,2.69,0
1981,12.12,2.69,0
1981,14.04,3.23,0
1981,15.61,4.88,0.01
1981,12.27,5.25,0.03
1981,9.82,2.56,0
1981,8.02,1.71,0
1981,7.75,1.71,0
1981,10.58,2.14,0
1981,11.13,3.78,0
1981,11.3,4.64,0
1981,10.87,3.54,0
1981,10.22,3.66,0.07
1981,11.83,6.9,1.58
1981,11.09,6.1,1.45
1982,9.88,5.92,2.17
1982,6.15,4.03,1.92
1982,5.12,2.08,0
1982,5.63,2.32,0.65
1982,8.91,5.62,0.97
1982,8.86,4.39,0.03
1982,4.26,1.28,0
1982,4.88,1.34,0
1982,8.37,2.14,0.1
1982,10.83,3.97,6.6
1982,11.3,5.43,0.46
1982,9.93,4.46,0
1982,8.18,2.69,0
1982,9.39,3.11,0
1982,11.08,3.11,0
1982,12.08,2.81,0
1982,11.62,3.11,0
1982,9.83,3.78,0.01
1982,8.91,3.72,0.19
1982,7.98,5.55,9.25
1982,7.6,5.07,4.06
1982,5.71,2.75,0
1982,7.36,2.5,0
1982,12.07,4.03,0.02
1982,13.89,3.78,0
1982,12.92,4.7,0
1982,11.92,4.94,0.01
1982,10.15,4.82,0.55
1982,9.76,3.6,0.05
1982,8.68,2.5,0
1982,10.35,2.99,0
1982,9.19,2.26,0
1982,8.4,2.5,0
1982,9.42,3.3,0
1982,8.72,3.85,0
1982,6.06,1.53,0
1982,5.96,1.59,0
1982,8.33,3.05,0.36
1982,9.52,4.88,0.23
1982,9.82,5.19,2.48
1982,9.83,6.47,10.88
1982,11.52,5.43,0.32
1982,9.29,3.66,0
1982,12.12,3.23,0
1982,15.37,6.23,0.02
1982,15.29,6.77,0.02
1982,16.78,7.45,0.01
1982,15.53,4.88,0
1982,15.38,3.66,0
1982,15.8,4.33,0
1982,17.82,4.09,0
1982,18,4.82,0
1982,17.93,5.07,0
1982,17.94,4.76,0
1982,15.59,6.23,0.26
1982,15.65,6.04,0.02
1982,15.97,5.8,0
1982,16.57,4.21,0
1982,17.07,3.97,0
1982,17.27,5.07,0.09
1982,14.23,6.04,0.11
1982,13.17,4.33,0.01
1982,13.43,3.66,0
1982,12.26,2.56,0
1982,12.44,2.26,0
1982,13.75,2.56,0
1982,15.15,4.58,0
1982,16.7,5.31,0
1982,19.63,6.16,0.5
1982,16.98,7.87,6.8
1982,15.62,7.08,3.58
1982,16.14,7.32,2.49
1982,13.55,7.02,4.63
1982,12.02,5.68,0.43
1982,10.08,4.76,1.17
1982,10.98,6.47,5.28
1982,10.53,5.25,4.52
1982,10.95,3.72,0.05
1982,11.58,3.05,0
1982,13.06,2.87,0.02
1982,15.27,3.05,0.01
1982,16,2.99,0
1982,16.57,3.6,0.13
1982,18.87,4.52,1.1
1982,15.56,6.41,1.48
1982,15.94,6.04,0.01
1982,13.98,5.86,1.37
1982,11.07,5,0.64
1982,12.74,4.7,0.15
1982,13.44,4.7,0
1982,11.33,6.04,3.85
1982,12.09,3.91,0.01
1982,14.97,4.7,0
1982,15.18,5.37,0
1982,15.55,4.64,0
1982,14.01,4.82,0
1982,14.07,3.3,0
1982,15.58,3.85,0
1982,19.13,6.1,0.01
1982,21.57,7.45,0.03
1982,21.55,9.03,0.15
1982,19.29,5.74,0.01
